OTU_ID	E1	E2	E28	E3	E30	E7	E8	E9
otu356	71	60	42	89	28	31	32	24
otu357	0	60	0	0	69	0	91	87
otu358	32	59	36	34	159	63	80	56
otu359	77	61	83	64	44	48	24	0
otu360	97	36	54	94	0	0	25	0
otu361	100	80	84	66	0	0	48	0
otu362	25	20	0	0	96	41	107	90
otu363	62	52	50	83	0	0	43	0
otu364	0	17	0	214	17	21	13	20
otu365	68	56	88	40	27	0	0	26
otu366	0	36	0	0	143	106	78	79
otu367	0	0	34	33	43	107	91	116
otu368	63	67	56	52	0	55	58	0
otu369	44	0	51	45	89	0	43	0
otu370	38	0	27	15	87	49	62	73
otu371	48	0	78	0	0	0	30	0
otu372	0	28	0	0	40	54	55	46
otu373	51	35	82	76	0	0	0	0
otu374	86	82	72	86	0	44	0	0
otu375	0	75	17	63	0	62	0	61
otu376	0	0	0	0	141	68	89	83
otu377	90	50	68	38	0	0	0	0
otu378	71	63	152	95	0	41	40	0
otu379	44	0	0	38	63	41	28	46
otu380	49	69	72	0	0	0	0	0
otu381	109	77	82	59	0	27	0	0
otu382	121	0	0	0	0	152	189	133
otu383	0	36	60	81	33	50	0	40
otu384	90	74	34	73	32	0	0	0
otu385	63	63	0	102	0	26	41	0
otu386	50	0	0	0	70	0	48	61
otu387	74	0	68	83	0	0	0	0
otu388	42	0	72	46	0	53	38	36
otu389	92	0	66	51	0	32	0	21
otu390	83	91	52	81	0	0	0	29
otu391	57	35	0	0	36	82	71	42
otu392	0	67	49	30	75	51	42	85
otu393	61	32	79	57	0	0	30	0
otu394	0	37	0	24	43	86	58	123
otu395	57	57	0	40	71	0	0	0
otu396	17	0	33	19	33	83	24	86
otu397	27	83	55	92	22	37	21	0
otu398	33	56	60	0	130	0	0	45
otu399	97	91	203	55	0	0	0	0
otu400	0	0	0	0	196	112	83	85
otu401	47	75	56	54	0	0	0	0
otu402	65	70	0	76	31	0	18	25
otu403	99	68	70	0	88	52	44	51
otu404	93	67	103	43	37	23	0	0
otu405	52	83	63	48	0	0	0	0
otu406	0	45	0	28	0	147	77	119
otu407	55	55	0	59	0	0	0	0
otu408	38	31	50	48	72	0	0	0
otu409	0	0	0	21	124	35	38	77
otu410	0	0	54	0	66	0	0	35
otu411	57	43	55	47	61	26	0	39
otu412	53	0	47	55	27	0	0	0
otu413	22	0	0	12	86	43	68	91
otu414	0	0	60	91	0	0	0	21
otu415	0	30	0	30	0	142	107	112
otu416	0	0	65	0	0	0	37	0
otu417	36	45	24	55	28	35	64	43
otu418	55	47	47	78	0	0	0	0
otu419	74	0	76	31	0	36	0	0
otu420	74	26	29	56	22	0	31	15
otu421	52	57	34	0	54	0	95	0
otu422	0	37	32	0	102	0	0	37
otu423	63	0	0	34	0	62	31	55
otu424	59	66	67	60	36	21	0	20
otu425	67	43	47	74	0	0	0	0
otu426	64	61	65	61	71	0	0	46
otu427	73	0	0	0	0	113	184	119
otu428	59	60	56	57	0	26	0	0
otu429	23	62	50	50	37	0	0	30
otu430	0	0	0	0	0	19	15	31
otu431	0	0	0	0	225	32	44	60
otu432	53	78	103	39	0	0	0	0
otu433	0	78	106	95	55	0	0	0
otu434	69	46	63	52	0	0	0	0
otu435	48	62	32	25	165	0	43	43
otu436	0	73	96	0	0	0	0	27
otu437	85	51	52	41	0	17	24	16
otu438	71	82	54	90	0	22	0	0
otu439	59	0	47	54	35	24	0	0
otu440	52	33	40	29	27	0	22	14
otu441	0	0	0	76	65	67	49	58
otu442	42	53	46	66	20	14	16	15
otu443	18	39	0	47	0	129	78	96
otu444	50	66	51	53	0	0	0	0
otu445	0	93	75	55	49	30	39	0
otu446	43	68	62	52	0	0	20	0
otu447	78	77	0	47	0	42	59	53
otu448	0	48	0	36	55	129	56	97
otu449	0	18	0	0	91	59	44	55
otu450	0	40	0	20	59	73	85	56
otu451	15	0	21	24	110	39	64	52
otu452	0	0	55	67	0	68	0	0
otu453	0	0	0	0	69	34	110	70
otu454	0	0	0	0	100	52	59	50
otu455	79	0	38	54	44	44	53	0
otu456	0	0	0	0	0	184	181	174
otu457	80	60	56	50	0	13	0	0
otu458	0	55	51	70	45	0	59	0
otu459	0	0	141	0	0	0	0	0
otu460	41	68	0	46	0	23	20	0
otu461	0	0	0	42	12	78	83	97
otu462	46	82	50	89	0	0	0	21
otu463	0	0	0	0	0	182	84	138
otu464	0	36	0	0	96	85	83	90
otu465	0	37	50	51	0	25	0	21
otu466	0	0	52	63	30	71	0	0
otu467	0	0	67	57	44	0	47	0
